,0,1,2,3
27,Spending Agency Budget Framework Paper,2023/24,Law Reform Commission.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Law%20Reform%20Commission_8.pdf
28,Spending Agency Budget Framework Paper,2023/24,Inspectorate of Government.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Inspectorate%20of%20Government_5.pdf
29,Spending Agency Budget Framework Paper,2023/24,Parliamentary Commission.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Parliamentary%20Commission_6.pdf
30,Spending Agency Budget Framework Paper,2023/24,Uganda Aids Commission.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Uganda%20Aids%20Commission_4.pdf
31,Spending Agency Budget Framework Paper,2023/24,Uganda Human Rights Commission.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Uganda%20Human%20Rights%20Commission_7.pdf
32,Spending Agency Budget Framework Paper,2023/24,Health Service Commission.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Health%20Service%20Commission_9.pdf
33,Spending Agency Budget Framework Paper,2023/24,"Uganda Mission in Luanda, Angola.pdf",https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Uganda%20Mission%20in%20Luanda%2C%20Angola_0.pdf
34,National Budget Framework Paper,2023/24,National Budget Framework Paper FY 2023-24.pdf,https://budget.finance.go.ug/sites/default/files/National%20Budget%20docs/National%20Budget%20Framework%20Paper%20FY%202023-24_0.pdf
35,Circulars and Instructions,2023/24,THE SECOND BUDGET CALL CIRCULAR (2nd BCC) ON FINALISATION OF THE BUDGET ESTIMATES FOR FINANCIAL YEAR 2023-2024.pdf,https://budget.finance.go.ug/sites/default/files/THE%20SECOND%20BUDGET%20CALL%20CIRCULAR%20%282nd%20BCC%29%20ON%20FINALISATION%20OF%20THE%20BUDGET%20ESTIMATES%20FOR%20FINANCIAL%20YEAR%202023-2024.pdf
36,Other documents,2023/24,THE SECOND BUDGET CALL CIRCULAR (2nd BCC) ON FINALISATION OF THE BUDGET ESTIMATES FOR FINANCIAL YEAR 2023-2024.pdf,https://budget.finance.go.ug/sites/default/files/National%20Budget%20docs/THE%20SECOND%20BUDGET%20CALL%20CIRCULAR%20%282nd%20BCC%29%20ON%20FINALISATION%20OF%20THE%20BUDGET%20ESTIMATES%20FOR%20FINANCIAL%20YEAR%202023-2024.pdf
37,Circulars and Instructions,2023/24,INDICATIVE PLANNING FIGURES (IPFs) FOR FY 2023-24 FOR LOCAL GOVERNMENTS GRANTS. (1).pdf,https://budget.finance.go.ug/sites/default/files/INDICATIVE%20PLANNING%20FIGURES%20%28IPFs%29%20FOR%20FY%202023-24%20FOR%20LOCAL%20GOVERNMENTS%20GRANTS.%20%281%29.pdf
